MainDTN,ChE30M,ChERM,ChE30,MDTN_R,ChEBM,MDTN_B,NSCh2pD,NFCh30m,TotCha,geometry,corridor_name
4.28,0.0,0.44,0.92,1.26,0.48,3.02,1.0,1.0,2.0,"POLYGON ((17.90888193562925 42.66959709971528, 17.862769473819675 42.889949044059094, 18.16861437425781 42.922862630635876, 18.21350087219928 42.702395353366185, 17.90888193562925 42.66959709971528))",D8 Corridor (Baljivac)
4.22,0.0,0.22,3.25,0.33,3.02,3.89,1.0,1.0,2.0,"POLYGON ((24.580263105015977 70.27770590887853, 24.541845701989416 70.51144195407058, 25.1823319288441 70.52460191931773, 25.215292780565154 70.29071636101047, 24.580263105015977 70.27770590887853))",Vestre Porsangerveien Route (Finnmark)
44.06,0.0,3.47,21.56,7.19,18.09,36.86,4.0,3.0,7.0,"POLYGON ((20.595141873857617 51.1479013967376, 20.553447452963415 51.36574706470149, 20.919175084725854 51.390178561101216, 20.959100537115336 51.172218530984495, 20.595141873857617 51.1479013967376))",Indiańska Droga Sat-Okha Highway Corridor (Zaława)
0.15,0.0,0.0,0.09,0.0,0.09,0.15,0.0,1.0,1.0,"POLYGON ((8.188673522528914 59.211919146212175, 8.064126639266828 59.42293481808742, 8.496895510000476 59.483504004022606, 8.619140202763418 59.272115378757135, 8.188673522528914 59.211919146212175))",Brunkebergvegen Route (Telemark)
18.43,0.0,10.41,12.03,15.99,1.62,2.44,8.0,1.0,9.0,"POLYGON ((24.30609545955969 57.70808910965424, 24.278626451126744 57.926837677693655, 24.709905561695646 57.94022280592277, 24.734895023973817 57.72139385898553, 24.30609545955969 57.70808910965424))",Rīga (Baltezers) — Igaunijas robeža (Ainaži) Route (Salacgrīvas pagasts)
6.94,0.0,1.58,2.64,4.17,1.06,2.77,3.0,1.0,4.0,"POLYGON ((37.077240953129625 48.965605167144346, 37.11512478115955 49.18418324550284, 37.4635348018864 49.15980919805649, 37.42404499346718 48.94133683083184, 37.077240953129625 48.965605167144346))",М-03 Route (Kharkiv Oblast)
79.82,0.0,6.65,27.47,19.19,20.82,60.64,10.0,3.0,13.0,"POLYGON ((11.968570527986488 55.19116203734241, 11.876395943703086 55.404248974107055, 12.27103123204644 55.45377354947371, 12.361232306969193 55.24042324987014, 11.968570527986488 55.19116203734241))",Sydmotorvejen Highway Corridor (Region Zealand)
104.43,0.0,23.46,69.6,34.4,46.14,70.03,18.0,4.0,22.0,"POLYGON ((8.63135317997883 44.66977404179672, 8.544282702070728 44.88315970649204, 8.853640162909885 44.94306540088238, 8.939528259224682 44.729461416815234, 8.63135317997883 44.66977404179672))",Motorway Autostrada dei Vini Corridor (Pozzolo Formigaro)
85.44,0.0,16.63,47.74,29.64,31.11,55.79,15.0,3.0,18.0,"POLYGON ((14.557942086145806 51.47600204873887, 14.486190494154448 51.6910312171904, 14.850101060629184 51.73314111768858, 14.92014641078794 51.517914963356446, 14.557942086145806 51.47600204873887))",Motorway A18 Corridor (Neiße-Malxetal)
13.35,0.0,0.11,8.35,0.18,8.25,13.17,1.0,2.0,3.0,"POLYGON ((-3.705692313273987 37.365317986763465, -3.825710065129592 37.57019475669092, -3.5709612910800606 37.66676455995283, -3.4516218346758203 37.4616273331566, -3.705692313273987 37.365317986763465))",Motorway Autovía de Sierra Nevada Corridor (Iznalloz)
65.9,0.0,17.78,27.65,44.62,9.87,21.28,23.0,2.0,25.0,"POLYGON ((14.280035694502658 45.60504639524198, 14.21550932936915 45.821933470322016, 14.536424309626426 45.8652846062553, 14.599625303232612 45.64823162241185, 14.280035694502658 45.60504639524198))",Viadukt Ravbarkomanda Highway Corridor (Cerknica)
0.34,0.0,0.21,0.24,0.29,0.03,0.05,1.0,1.0,2.0,"POLYGON ((-0.1213459660745021 45.16066432495157, -0.2453043407929582 45.36523892338672, 0.0545287888184252 45.449828050385705, 0.1774864595893599 45.24495256329336, -0.1213459660745021 45.16066432495157))",N 10 Route (Brossac)
